"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Apr 26 01:23:28 GMT 2023","Wed Apr 26 01:23:28 GMT 2023","420","","App search function","","Search for a movie","","Search for a movie",""
"skipped","Wed Apr 26 01:23:28 GMT 2023","Wed Apr 26 01:23:28 GMT 2023","370","","App search function","","Search for a movie","","Search for a movie",""
"skipped","Wed Apr 26 01:23:27 GMT 2023","Wed Apr 26 01:23:28 GMT 2023","383","","App search function","","Search for a movie","","Search for a movie",""
"skipped","Wed Apr 26 01:23:26 GMT 2023","Wed Apr 26 01:23:27 GMT 2023","1029","","App search function","","App version","","App version",""
